"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory.Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"LAT",7.30754658819179,7.06771082831553,6.81279471233723,11.6555211457038,12.4692870123092,11.6809136093644,10.5005854343998,13.0501240399597,11.6446211301804,11.4196002036968,10.7511911355634,10.3029189564988,7.91039278877215,9.24004322246621,7.35590742450921,7.51532667519062,7.6883557755538,7.77969830116167,11.8687294404637,11.2752312262695,8.66783116837437,7.7187356213514
"KCNA3",8.26339338043293,8.68785623519122,10.2475522773297,9.16718005992788,8.86567031045193,9.93170518626973,8.34475401736345,8.04938835706044,6.24779261097406,8.7867626856323,8.68788071922144,9.17535753205142,7.17545333781947,6.6996345320822,7.03247006213448,4.43406605881118,4.61734021600023,4.64395673865264,3.88916947273136,4.24824863452712,6.92489611456291,6.04516237939521
"CD28",7.42336057468176,7.53082321826527,7.19729323993746,9.04549428973593,8.85798057133584,9.91105372084704,11.1648259286371,10.3747197042599,10.6574967279801,9.03659771464493,6.3030577527243,6.18554525920433,6.32461294515971,5.98247348873382,6.03300025903409,7.70225170963646,6.46551479139965,6.06687081539364,5.98699857270319,6.25108299273055,6.49474855386456,7.48010812831952
"PTPRG",6.74929963768434,6.61307207192436,6.41491609859693,2.26268258098836,2.39879412976117,2.30721617604077,3.76581808506008,3.80615876395009,7.28347632422028,6.08783281304926,3.23122221311395,2.72220794193602,2.88230423446321,3.4060296105336,5.03353963001699,2.51267239326176,3.31199696347675,4.26629607892038,3.44263499065429,1.99211635454943,1.99743706448371,6.78957019799818
"HRH1",7.69724195426485,7.37901556900407,7.34412719151236,6.26630619224221,4.78043055695034,6.67453369123246,8.15895633060256,6.30910433657985,6.78077420678923,7.73763205232756,5.78336231321649,5.44195183523695,6.19327055238898,7.77253610735782,7.19262304976521,11.1007104641703,7.66911284969993,7.01421358095722,6.9082285819762,6.87857879285233,6.36487248533632,7.83841501808323
"RASGRP3",8.84348156079503,9.17106011156198,11.6684871780488,4.10656949792058,4.8969934707231,3.87467373559746,3.88183990101318,4.0741135631696,6.55687181001211,4.08958708689116,4.04539747779421,4.32752098123693,3.6368190960664,9.52358214835378,9.1112254583798,10.3681820412745,9.9470108072995,10.0203030867524,5.86356700970683,6.51073652122563,6.28543156483052,4.07832427987551
"LRMP",11.0415495149674,11.5258071947844,10.0275620939197,9.30586235993173,9.75264919717811,8.35974427745766,7.54059930373427,10.9689016302917,7.09770851125738,9.26228254775609,10.2838180771894,8.77340307838523,10.0357353266797,7.28821112695363,5.31467341480157,9.59710590329563,9.06852560557036,6.85392965558872,9.50815076514621,9.28142723348111,12.6285426358054,11.6584947373992
"P2RY10",8.77340307838523,8.45080957371411,8.67729662618741,8.32240159219371,8.41736066820167,9.01504908749449,8.20070358802802,8.29595100826089,9.86528258386794,6.76076778527592,7.89476584293127,7.70389068600334,4.45666183900387,3.62873724629294,4.42524553668565,4.14103966101351,2.66465568512852,7.16699130088288,4.82439129012373,5.91974832310632,10.8242177820538,8.45542791690414
"P2RX1",7.34628865695589,5.28204196555049,5.23313140876508,7.50619154744999,7.40436801982151,6.91756439416924,6.80434077702065,7.16878134168002,6.15886525368302,7.53568326333802,7.07430610260225,7.11646227297617,9.42596948827245,7.6415353844038,7.08373465404691,8.48064361179426,7.35013262879302,5.87357066694091,11.4851232400574,11.0996488498525,10.3484144468039,10.1927874939011
"CA8",4.24763738715449,4.28864394836449,4.1592418688608,3.83967569016713,4.36034592526155,4.12282021732772,4.02914112572694,7.65552141546184,5.47703133313314,5.98459347725726,3.92191212937329,3.95125846152554,3.90776286997404,3.75723511077813,5.02098996436411,3.83290689005456,3.64536780595672,5.05385054867953,6.19410469357408,7.18618516836411,4.04505442876991,4.73288188314287
